Calendar_Week,DE,US,GB,DK,CA,NL,SE,PL,AU,NO,AT,IT,IE,FI,CH,BE,FR,HU,NZ,ES,SG,SK,PT,PH,HK,KR,CZ,LT,LV,GR,LU,IS,EE,AE,MT,CY,JP,MY,BG,RO,TW,ZA,CL,RU,CR,UA,VN,PA,CO,TH,ID,EC,GT,HN,AD,MX,BR,PE,AR,DO,TR,SA,UY,BO,SV,PY,NI,KZ,BY,VE,IN,EG
1,0,0,40131,7143,1465,59114,13220,0,3050,91588,0,44948,29094,0,5278,82611,47242,3346,1083,308236,3746,5767,4810,167841,8344,2697,4533,7348,12070,31173,1208,1125,2809,590,1657,7338,9265,902,936,0,3914,0,0,50784,0,58107,0,0,0,5044,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,12743,10803,0,0,0
2,0,0,0,0,0,46094,0,0,0,0,0,0,0,0,0,5089,0,0,0,0,3992,0,0,311603,2088,0,0,606,0,782,0,0,0,0,0,0,0,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,49629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,29436,0,84146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,731144,172204,64530,105885,108507,21854,0,0,36458,16127,0,24375,6798,6681,8754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,6197,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,218256,2401770,691419,312148,419620,318299,130234,57663,41842,177602,54246,0,99478,29191,32964,41956,0,12007,0,0,0,5045,7682,0,0,15847,12840,765,3138,0,1780,25079,3398,2076,0,0,0,0,0,4599,0,0,0,0,5235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,696968,6007990,1371912,600340,1408500,485960,296411,169152,90575,364062,161578,0,194905,60637,87582,68088,0,22416,13772,0,20499,17946,15032,0,0,22021,31923,6320,3936,14029,5565,41970,7447,5098,518,2325,37421,0,1084,15678,0,0,0,0,13928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2246026,11637702,2824341,910789,2365744,899087,970666,462031,376340,600345,307814,117680,379075,169039,163641,122554,81198,68069,35763,0,59083,45476,34717,44917,3628,25668,98693,29141,20437,72053,12845,58237,20207,9454,2612,9813,109727,0,7681,52642,0,0,0,0,15678,9938,25929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551,0,0,0
48,3429789,15722400,3823815,1148436,2355193,1007724,1623678,563459,567228,857900,408220,224421,475945,212724,296390,183461,162044,116789,116492,102291,101496,76842,88050,219089,20726,32375,186389,36880,37090,88098,21656,56734,28672,19649,4364,12635,149308,16314,17873,67662,3072,4212,0,0,14676,8034,40916,4866,0,9641,0,0,6727,3926,0,0,0,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0
49,4556445,17964646,7358799,1380455,2896264,1578689,2171182,1216095,1267266,1211670,500588,788137,712283,312432,439914,318913,422737,196486,272301,378652,152890,119392,160959,387560,68017,35317,264989,63132,56189,102608,34435,69261,41936,33229,9548,15880,241505,67166,24774,91696,31247,12050,0,0,20320,20771,66567,17021,6653,42054,15460,4247,16414,6818,0,157719,0,0,0,9384,531,0,0,0,3127,0,1173,1199,1023,2821,0,0
50,4448842,20349915,8217772,1187274,3287878,2474768,2087792,1492821,1518030,1193069,463174,1176465,856129,314029,470508,465946,489408,221752,344488,491266,202562,132994,165205,575486,96478,38270,276092,71251,60249,105641,37400,75705,42180,43253,12301,18747,311120,123027,26107,101883,62689,24743,0,13945,19858,24498,76976,18400,561,74837,16480,11487,16855,8712,86,274678,2652,10088,1145,9807,786,1089,116,66,3221,63,237,3871,1731,2570,0,0
51,5229735,24338230,9742704,1280351,4069795,2794595,2605542,1873094,2371947,1381768,547804,1294841,1045400,495775,554985,585452,709362,332208,524657,636779,263151,172766,225582,864814,128323,48368,355519,86117,78719,118309,43570,92019,54178,50637,15093,23098,448146,169527,30837,117624,101769,39493,17889,32739,23896,26830,80516,19735,4176,89172,41032,21317,20975,9413,0,317344,3247,22582,1470,10631,6980,0,136,378,5384,217,1498,3531,1754,1093,0,0
52,9409186,31442745,14995741,1624871,6273036,4660079,3536125,2184848,5293075,1422277,859578,2484754,1493523,751507,1071850,1236974,2079793,602607,1117316,1750414,445937,191740,487002,1602160,232179,58004,413956,131597,128902,174204,79300,99288,80055,91816,21934,36974,761726,279756,55867,156778,213432,160952,221870,55321,57394,43920,98630,42967,46116,201115,120046,63464,53433,18861,378,661483,448480,78231,54704,20497,9047,4610,4782,13421,10378,3519,8568,5609,5377,4104,8135,828
53,2519119,13302363,7160440,253671,3062618,2893242,633846,467325,1744646,409003,167750,1086186,662919,111586,388486,513087,386151,130152,142607,988771,254210,33140,137370,740348,148880,0,72901,44658,45342,126203,31780,26254,22759,50816,1633,22196,286051,159255,19608,53398,120867,74389,63167,300124,18241,81153,25704,15648,29522,132277,63951,12226,10229,4944,526,228685,0,29486,0,6293,4785,0,0,0,0,0,0,0,0,0,0,0
