Date,CO,PA
Total,648340,407955
Peak,"119 (184,005)","26 (55,315)"
2019/12/26,"163 (63,510)","69 (21,651)"
2020/12/10,--,"160 (13,861)"
2020/12/17,--,"185 (12,245)"
2020/12/24,"196 (74,525)","86 (23,091)"
2020/12/31,"130 (88,566)","93 (18,863)"
2021/12/09,"144 (113,109)","137 (17,513)"
2021/12/16,--,"162 (14,970)"
2021/12/23,--,"99 (18,283)"
2021/12/30,"119 (124,625)","38 (35,360)"
2022/12/08,--,"163 (19,344)"
2022/12/15,--,"190 (17,003)"
2022/12/22,--,"148 (19,359)"
2022/12/29,"139 (184,005)","37 (42,584)"
2023/12/07,--,"104 (27,360)"
2023/12/14,--,"114 (24,741)"
2023/12/21,--,"110 (26,412)"
2023/12/28,--,"26 (55,315)"
