Date,US,GB,CA,IE,SE
Total,12104828,9585387,1267233,627082,246727
Peak,"142 (2,470,408)","75 (979,103)","148 (368,543)","111 (82,161)","144 (131,183)"
2014/12/21,--,"193 (117,029)",--,--,"171 (115,544)"
2014/12/28,--,--,--,--,"144 (131,183)"
2015/12/24,--,"164 (240,891)",--,"189 (14,326)",--
2016/12/22,--,"190 (278,399)",--,--,--
2016/12/29,--,"105 (445,047)",--,"178 (22,384)",--
2017/12/28,--,"84 (691,324)",--,"112 (46,837)",--
2018/12/27,--,"131 (621,409)",--,--,--
2019/12/26,"192 (1,932,742)","129 (722,929)",--,"171 (59,776)",--
2020/12/24,"142 (2,213,423)","105 (666,104)",--,"166 (62,462)",--
2020/12/31,--,"150 (466,871)",--,--,--
2021/12/09,--,"162 (454,463)",--,--,--
2021/12/16,--,"139 (508,096)",--,"163 (52,072)",--
2021/12/23,"157 (1,872,487)","95 (685,194)","192 (263,389)","113 (73,895)",--
2021/12/30,"187 (1,580,534)","84 (753,403)","148 (289,229)","115 (68,661)",--
2022/12/15,--,"153 (527,824)",--,--,--
2022/12/22,--,"111 (676,856)",--,"147 (63,678)",--
2022/12/29,"182 (2,035,234)","75 (979,103)","158 (346,072)","111 (82,161)",--
2023/12/28,"177 (2,470,408)","125 (750,445)","197 (368,543)","147 (80,830)",--
