Date,Global,US,NZ,GB,AU,NO,CA,DK,IS,SE,PT,LV,IE
Total,63993176,59202359,851662,699275,624062,525005,397541,353518,284095,119002,34470,33595,16626
Peak,"135 (2,874,826)","97 (2,782,198)","75 (65,447)","121 (278,186)","77 (164,213)","131 (81,857)","135 (119,230)","78 (94,653)","58 (9,095)","165 (119,002)","152 (12,466)","173 (10,862)","151 (16,626)"
2016/09/15,--,"144 (1,077,069)","134 (28,023)","183 (194,914)","133 (96,623)",--,"177 (89,434)","103 (77,928)","102 (6,169)",--,--,--,--
2016/09/22,"135 (2,874,826)","97 (1,514,258)","75 (46,510)","121 (278,186)","77 (164,213)","131 (81,857)","135 (119,230)","78 (94,653)","61 (8,346)","165 (119,002)","166 (11,131)","195 (1,982)","151 (16,626)"
2016/09/29,"194 (2,242,249)","118 (1,189,489)","121 (30,079)","149 (226,175)","118 (108,072)","189 (60,320)","158 (101,570)","110 (73,022)","58 (7,922)",--,"152 (12,466)",--,--
2016/10/06,--,"152 (1,033,047)","173 (24,295)",--,"154 (89,918)",--,"190 (87,307)","154 (57,725)","75 (6,411)",--,"191 (10,873)",--,--
2016/10/13,--,"170 (918,636)","186 (23,070)",--,"167 (85,347)",--,--,"166 (50,190)","79 (5,800)",--,--,--,--
2016/10/20,--,"195 (853,809)",--,--,"188 (79,889)",--,--,--,"87 (5,148)",--,--,--,--
2016/10/27,--,--,--,--,--,--,--,--,"104 (4,476)",--,--,--,--
2016/11/03,--,--,--,--,--,--,--,--,"139 (3,727)",--,--,--,--
2016/11/10,--,--,--,--,--,--,--,--,"155 (3,350)",--,--,--,--
2016/11/17,--,--,--,--,--,--,--,--,"172 (3,436)",--,--,--,--
2024/02/01,--,--,--,--,--,--,--,--,"175 (6,296)",--,--,--,--
2024/03/21,--,--,--,--,--,--,--,--,"198 (6,469)",--,--,--,--
2024/04/18,--,"196 (2,479,232)",--,--,--,--,--,--,"176 (6,898)",--,--,--,--
2024/04/25,--,"181 (2,518,424)",--,--,--,--,--,--,"175 (7,143)",--,--,--,--
2024/05/02,--,"188 (2,603,425)",--,--,--,--,--,--,"153 (7,679)",--,--,--,--
2024/05/09,--,"197 (2,654,169)",--,--,--,--,--,--,"161 (7,525)",--,--,--,--
2024/05/16,--,"191 (2,720,211)",--,--,--,--,--,--,"149 (7,935)",--,--,--,--
2024/05/23,--,"182 (2,765,867)",--,--,--,--,--,--,"167 (7,546)",--,--,--,--
2024/05/30,--,"169 (2,782,198)",--,--,--,--,--,--,"146 (8,179)",--,--,--,--
2024/06/06,--,"183 (2,674,831)",--,--,--,--,--,--,"162 (7,796)",--,--,--,--
2024/06/13,--,"197 (2,574,631)",--,--,--,--,--,--,"169 (8,215)",--,--,--,--
2024/06/27,--,--,--,--,--,--,--,--,"191 (7,307)",--,--,--,--
2024/07/04,--,--,--,--,--,--,--,--,"167 (7,848)",--,--,--,--
2024/07/11,--,--,--,--,--,--,--,--,"191 (8,076)",--,--,--,--
2024/07/18,--,--,--,--,--,--,--,--,"165 (8,100)",--,--,--,--
2024/07/25,--,--,"198 (62,123)",--,--,--,--,--,"162 (8,049)",--,--,--,--
2024/08/01,--,--,"185 (62,735)",--,--,--,--,--,"181 (7,551)",--,--,--,--
2024/08/08,--,--,"192 (62,132)",--,--,--,--,--,--,--,--,--,--
2024/08/15,--,"198 (2,392,841)","171 (63,722)",--,--,--,--,--,"163 (7,324)",--,--,--,--
2024/08/22,--,--,"194 (62,185)",--,--,--,--,--,"191 (7,201)",--,--,--,--
2024/08/29,--,"170 (2,597,027)","181 (64,839)",--,--,"182 (76,135)",--,--,"145 (8,043)",--,--,--,--
2024/09/05,--,"163 (2,541,796)","185 (63,880)",--,--,"179 (76,310)",--,--,"123 (8,637)",--,--,--,--
2024/09/12,--,"160 (2,622,402)","185 (65,447)",--,--,"179 (78,153)",--,--,"97 (9,008)",--,--,--,--
2024/09/19,--,"160 (2,608,802)","177 (65,121)",--,--,"197 (76,159)",--,--,"109 (8,693)",--,--,--,--
2024/09/26,--,"156 (2,668,029)","195 (64,467)",--,--,--,--,--,"126 (8,284)",--,--,--,--
2024/10/03,--,"146 (2,649,898)",--,--,--,--,--,--,"108 (8,880)",--,--,"192 (10,315)",--
2024/10/10,--,"139 (2,723,395)",--,--,--,"189 (76,071)",--,--,"95 (9,095)",--,--,"173 (10,862)",--
2024/10/17,--,"154 (2,571,706)",--,--,--,--,--,--,"98 (8,760)",--,--,"184 (10,436)",--
2024/10/24,--,"129 (2,773,283)",--,--,--,--,--,--,"113 (8,366)",--,--,--,--
2024/10/31,--,"151 (2,693,884)","194 (63,034)",--,--,--,--,--,"122 (8,407)",--,--,--,--
