Date,PH,ZA
Total,3067139,1668553
Peak,137,92
2021/03/18,152,
2021/03/25,151,
2021/04/01,137,
2021/04/08,160,
2021/04/15,198,
2021/04/22,186,
2021/04/29,179,
2021/05/06,176,
2021/05/13,175,
2021/05/20,186,
2021/07/08,183,
2022/02/03,,196
2022/02/10,,181
2022/02/17,,160
2022/02/24,,177
2022/03/03,,175
2022/03/10,,176
2022/03/17,,179
2022/03/24,,189
2022/03/31,,171
2022/04/07,,170
2022/04/14,,151
2022/04/21,,163
2022/04/28,,163
2022/05/05,,160
2022/05/12,,142
2022/05/19,,153
2022/05/26,,154
2022/06/02,,167
2022/06/09,,159
2022/06/16,,142
2022/06/23,,197
2022/07/07,,151
2022/07/14,,170
2022/07/21,,137
2022/07/28,,121
2022/08/04,,141
2022/08/11,,132
2022/08/18,,108
2022/08/25,,117
2022/09/01,,125
2022/09/08,,118
2022/09/15,,108
2022/09/22,,137
2022/09/29,,145
2022/10/06,,148
2022/10/13,,113
2022/10/20,,113
2022/10/27,,151
2022/11/03,,152
2022/11/10,,154
2022/11/17,,166
2022/11/24,,160
2022/12/01,,151
2022/12/08,,189
2023/01/12,,170
2023/01/19,,193
2023/01/26,,140
2023/02/02,,140
2023/02/09,,115
2023/02/16,160,97
2023/02/23,163,92
