Date,Global,US,CA,GB,IE,AU,NL,BE,DE,CH,DK,SE,IT,HU,AT,PT,LT,LV,SK,NZ,CZ,LU,EE,RO,SG,GR,MT,IS,CY,AE,ZA,BG
Total,119410413,78001324,12416904,8088610,1487327,1208933,728680,568660,547356,523873,515072,399191,359753,334622,221922,161430,137341,130825,105414,89844,85502,85042,75590,47261,45116,39566,26438,23998,17368,16159,13157,3422
Peak,98,45,34,62,53,94,150,73,180,71,146,163,198,59,135,126,62,60,113,122,134,53,71,121,164,119,71,187,95,173,182,195
2017/12/21,,191,200,,,,,,,,,,,,,,172,189,191,,,,,,,,,,,,,
2017/12/28,,134,101,,,,,97,,,,,,82,,,103,91,129,,173,84,104,,,141,117,,,,,
2018/12/06,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/13,,176,124,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,
2018/12/20,,165,119,,,,,,,,,,,156,,,125,134,172,,198,175,147,,,198,172,,176,,,
2018/12/27,152,99,59,124,136,,156,83,,123,146,163,,61,,138,68,62,118,,134,64,81,152,,119,101,,108,,,195
2019/12/05,,137,193,,,,,,,,,,,,,,191,174,,,,,,,,,163,,,,,
2019/12/12,,162,191,,,,,,,,,,,,,,162,,188,,,189,,,,,122,,,,,
2019/12/19,,129,169,,186,,,,,,,,,180,,,123,137,196,,,173,171,,,,108,,185,,,
2019/12/26,117,59,67,88,91,,178,90,,91,165,,,59,,144,62,60,113,,146,54,71,121,,168,71,,95,173,182,
2020/12/03,,111,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/10,,84,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/17,,98,106,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,
2020/12/24,144,47,50,171,120,,,135,,175,176,,,97,,126,120,84,127,,,95,115,134,,,,,174,,,
2020/12/31,,121,75,,185,,,,,,,,,,,,,,,,,132,,,,,,,,,,
2021/12/02,,98,97,,180,,,,,,,,,,,,,,,,,195,,,,,,,,,,
2021/12/09,,88,68,124,105,,,,,,,,,,,,160,163,,,,127,155,,,,,,,,,
2021/12/16,,81,64,109,86,,,,,,200,,,,,,162,184,,,,111,197,,,,,,,,,
2021/12/23,116,45,38,68,61,,,168,,118,149,,,117,166,,99,98,152,,,80,95,,,,,,184,,,
2021/12/30,98,47,34,62,53,125,150,73,180,71,169,,,95,135,177,79,70,,,,53,87,,164,,,,141,185,,
2022/12/01,,135,150,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/08,,124,116,127,110,,,,,,,,,,,,,,,,,183,,,,,,,,,,
2022/12/15,,129,123,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/22,,85,71,,130,,,,,,,,,,,,,,,,,,,,,,,192,,,,
2022/12/29,166,63,47,120,97,169,,,,127,,,,,155,,172,158,,,,121,,,,,,187,,,,
2023/11/30,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/07,,133,133,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/14,,124,115,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/21,,82,81,135,102,,,,,,,,,,,,,,,,,191,,,,,,,,,,
2023/12/28,124,56,52,78,68,94,,183,,134,,181,198,188,156,,145,81,,122,,99,128,,,,,188,,,,
