,Rank,Song Title,Artist
0,75,Walk On By,Dionne Warwick
1,74,We Are Never Ever Getting Back Together,Taylor Swift
2,73,Lose You to Love Me,Selena Gomez
3,72,"I Miss You, I’m Sorry",Gracie Abrams
4,71,You Were Good to Me,Jeremy Zucker & Chelsea Cutler
5,70,Need You Now,Lady A
6,69,River,Joni Mitchell
7,68,Someone You Loved,Lewis Capaldi
8,67,Love Lockdown,Kanye West
9,66,Talia,King Princess
10,65,Breaking Up Is Hard to Do,Neil Sedaka
11,64,Maniac,Conan Gray
12,63,Stormy Weather,Etta James
13,62,One Less Bell to Answer,The 5th Dimension
14,61,Glimpse Of Us,Joji
15,60,Say Something,A Great Big World & Christina Aguilera
16,59,You’re No Good,Linda Ronstadt
17,58,Without You,Harry Nilsson
18,57,Marvins Room,Drake
19,56,Love Will Tear Us Apart,Joy Division
20,55,"Lover, You Should’ve Come Over",Jeff Buckley
21,54,"Thank U, Next",Ariana Grande
22,53,I’m Goin’ Down,Mary J. Blige
23,52,Leave (Get Out),Jojo
24,51,Gives You Hell,The All-American Rejects
25,50,Falling,Harry Styles
26,49,Irreplaceable,Beyoncé
27,48,It’s Too Late,Carole King
28,47,Cellophane,FKA Twigs
29,46,Ivy,Frank Ocean
30,45,Motion Sickness,Phoebe Bridgers
31,44,Crying,Roy Orbison
32,43,Happier Than Ever,Billie Eilish
33,42,Every Breath You Take,The Police
34,41,I Fall to Pieces,Patsy Cline
35,40,Sometime Around Midnight,The Airborne Toxic Event
36,39,All I Wanted,Paramore
37,38,After You’ve Gone,Dinah Washington
38,37,Heartbreak Anniversary,Giveon
39,36,The One That Got Away,Katy Perry
40,35,You Keep Me Hangin’ On,The Supremes
41,34,Stick Season,Noah Kahan
42,33,Cry Me A River,Justin Timberlake
43,32,Since U Been Gone,Kelly Clarkson
44,31,I Can’t Make You Love Me,Bonnie Raitt
45,30,Truth Hurts,Lizzo
46,29,Somebody That I Used to Know,Gotye feat. Kimbra
47,28,Burn,Usher
48,27,Always On My Mind,Elvis Presley
49,26,When I Was Your Man,Bruno Mars
50,25,Torn,Natalie Imbruglia
51,24,Landslide,Fleetwood Mac
52,23,I Will Survive,Gloria Gaynor
53,22,Nothing Compares 2 U,Sinéad O’Connor
54,21,You’re So Vain,Carly Simon
55,20,Somebody Else,The 1975
56,19,Hallelujah,Leonard Cohen
57,18,Un-Break My Heart,Toni Braxton
58,17,The Way We Were,Barbra Streisand
59,16,Go Your Own Way,Fleetwood Mac
60,15,I Will Always Love You,Dolly Parton
61,14,Drivers License,Olivia Rodrigo
62,13,We Belong Together,Mariah Carey
63,12,Hide and Seek,Imogen Heap
64,11,Yesterday,The Beatles
65,10,Bye Bye Bye,*NSYNC
66,9,Someone Like You,Adele
67,8,Supercut,Lorde
68,7,You Oughta Know,Alanis Morissette
69,6,Back To Black,Amy Winehouse
70,5,I Have Nothing,Whitney Houston
71,4,Kill Bill,SZA
72,3,I Want You Back,The Jackson 5
73,2,Dancing On My Own,Robyn
74,1,All Too Well (10 Minute Version),Taylor Swift
